Hours,Wave,Arena,Trial,Animal,Drugs,Distance,Velocity,Mobile,Immobile,EmptyFreq,EmptyDuration,EmptyLatency,SocialFreq,SocialDuration,SocialLatency,EmptySocial,SocialEmpty,TotalTime,EmptyPercent,SocialPercent
24,1,Arena 2,Control,1808,A + B,3565.55,6.2581,280.05,297.15,50,250.5,0,47,327.65,2.9,26,25,578.15,43.32785609,56.67214391
24,1,Arena 3,Control,1809,A + B,2972.39,5.61145,260.6,276.8,49,278.9,2.45,44,260.7,0,29,29,539.6,51.6864344,48.3135656
24,1,Arena 4,Control,1810,A + B,3762.25,6.81999,317.9,245.55,45,232.6,2.1,67,332.45,0,30,31,565.05,41.16449872,58.83550128
24,1,Arena 2,Social,1808,A + B,2519.56,4.40984,259.8,316.6,33,145.6,1,38,432.1,0,20,21,577.7,25.20339276,74.79660724
24,1,Arena 3,Social,1809,A + B,2092.65,3.67615,200.95,372.6,27,165.1,55.5,32,409.35,0,18,19,574.45,28.74053442,71.25946558
24,1,Arena 4,Social,1810,A + B,2321.02,4.07589,277.3,299.4,26,257.55,0,31,319.4,1.45,18,17,576.95,44.6399168,55.3600832
24,2,Arena 2,Control,1798,A + B,3350.52,5.23559,370.5,277.05,36,298.4,0.6,38,350.55,0,20,21,648.95,45.98197088,54.01802912
24,2,Arena 3,Control,1799,A + D,3516.94,5.60514,376.7,258.2,36,246.4,0,42,389.4,0.1,25,25,635.8,38.75432526,61.24567474
24,2,Arena 4,Control,1764,A + D,2832.7,4.43858,355.45,289.8,32,387.45,0.2,28,259.5,0.15,19,19,646.95,59.88870856,40.11129144
24,2,Arena 2,Social,1798,A + D,885.349,11.7654,48.5,29.4,8,28.9,0,8,49.4,5.8,6,5,78.3,36.90932312,63.09067688
24,2,Arena 3,Social,1799,A + D,664.271,8.99487,33.3,42.35,6,50.35,0,7,25.9,50.95,3,3,76.25,66.03278689,33.96721311
24,2,Arena 4,Social,1764,A + D,784.728,10.8763,36.7,37.4,12,23.45,5.35,12,43.3,5.25,8,8,66.75,35.13108614,64.86891386
24,3,Arena 1,Control,1765,A + D,3263.61,5.33357,359,253,18,328.4,4.65,22,281.35,0,10,11,609.75,53.85813858,46.14186142
24,3,Arena 2,Control,1766,A + D,4302.26,7.46985,348.55,235.05,51,265.4,39.75,44,319.7,0,25,26,585.1,45.35976756,54.64023244
24,3,Arena 3,Control,1733,C + B,2977.09,5.19743,312.2,269,32,345.1,0,31,238.2,12.05,17,16,583.3,59.16338076,40.83661924
24,3,Arena 4,Control,1734,C + B,3872.87,6.93628,322.9,248.05,66,414.45,1.05,43,159.65,0,27,27,574.1,72.19125588,27.80874412
24,3,Arena 1,Social,1765,A + D,4746.33,8.01948,326.5,265.85,34,135.55,3,34,455.4,0,25,25,590.95,22.93764278,77.06235722
24,3,Arena 2,Social,1766,A + D,3518.35,6.42035,312.85,239.7,41,161.85,0.45,42,390.5,0,26,26,552.35,29.30207296,70.69792704
